| genres                                              | movie_count |
| --------------------------------------------------- | ----------- |
| Romance|Drama|Music                                 |           4 |
| Romance|Comedy|Family                               |           4 |
| Romance|Comedy|Crime|Drama                          |           4 |
| Mystery|Thriller|Crime                              |           4 |
| Mystery|Science Fiction|Thriller                    |           4 |
| Horror|Thriller|Comedy                              |           4 |
| Horror|Fantasy                                      |           4 |
| Horror|Drama|Mystery|Thriller                       |           4 |
| Horror|Comedy|Science Fiction                       |           4 |
| Horror|Comedy|Fantasy                               |           4 |
| Fantasy|Drama|Mystery                               |           4 |
| Fantasy|Drama|Comedy|Family                         |           4 |
| Fantasy|Comedy|Science Fiction                      |           4 |
| Fantasy|Adventure|Family                            |           4 |
| Family|Animation|Comedy                             |           4 |
| Drama|Thriller|Mystery|Romance                      |           4 |
| Drama|Thriller|Action                               |           4 |
| Drama|Mystery|Romance                               |           4 |
| Drama|Foreign|History                               |           4 |
| Drama|Fantasy|Romance                               |           4 |
| Drama|Comedy|Music                                  |           4 |
| Drama|Comedy|Family                                 |           4 |
| Drama|Action|Romance                                |           4 |
| Drama|Action|Comedy|Crime                           |           4 |
| Crime|Thriller|Mystery                              |           4 |
| Crime|Thriller|Drama                                |           4 |
| Crime|Horror|Mystery|Thriller                       |           4 |
| Crime|Drama|Romance                                 |           4 |
| Crime|Drama|Action|Thriller                         |           4 |
| Crime|Documentary                                   |           4 |
| Crime|Comedy|Action                                 |           4 |
| Crime|Action                                        |           4 |
| Comedy|Romance|Science Fiction                      |           4 |
| Comedy|Romance|Family                               |           4 |
| Comedy|Drama|War                                    |           4 |
| Comedy|Crime|Mystery|Thriller                       |           4 |
| Comedy|Action|Adventure                             |           4 |
| Animation|Comedy|Family|Mystery                     |           4 |
| Animation|Adventure                                 |           4 |
| Animation|Action                                    |           4 |
| Adventure|Horror|Thriller                           |           4 |
| Adventure|Fantasy|Science Fiction|Family            |           4 |
| Adventure|Fantasy|Drama|Romance                     |           4 |
| Adventure|Fantasy|Drama                             |           4 |
| Adventure|Fantasy|Comedy|Family                     |           4 |
| Adventure|Fantasy|Action|Thriller                   |           4 |
| Adventure|Drama|Fantasy                             |           4 |
| Adventure|Drama|Action|Comedy|Thriller              |           4 |
| Adventure|Comedy|Family|Science Fiction             |           4 |
| Adventure|Comedy|Family|Fantasy                     |           4 |
| Adventure|Comedy|Drama|Family                       |           4 |
| Adventure|Animation|Family|Fantasy                  |           4 |
| Adventure|Action|Thriller|Crime                     |           4 |
| Adventure|Action|Science Fiction|Thriller           |           4 |
| Adventure|Action|Comedy|Thriller|Crime              |           4 |
| Adventure|Action|Comedy|Thriller                    |           4 |
| Action|Thriller|Crime|Mystery                       |           4 |
| Action|Fantasy|Thriller                             |           4 |
| Action|Fantasy|Adventure                            |           4 |
| Action|Drama|Thriller|Crime                         |           4 |
| Action|Drama|Romance                                |           4 |
| Action|Drama|Horror|Thriller                        |           4 |
| Action|Comedy|Thriller|Romance                      |           4 |
| Action|Comedy|Thriller|Crime                        |           4 |
| Action|Comedy|Romance|Thriller                      |           4 |
| Action|Animation                                    |           4 |
| Action|Adventure|Western                            |           4 |
| Action|Adventure|Horror|Thriller                    |           4 |
| Action|Adventure|Horror|Science Fiction             |           4 |
| Action|Adventure|Drama|Romance                      |           4 |
| Action|Adventure|Drama|Horror|Science Fiction       |           4 |
| Action|Adventure|Drama|History|War                  |           4 |
| Action|Adventure|Crime|Drama                        |           4 |
| Action|Adventure|Comedy|Family|Fantasy              |           4 |
| Action|Adventure|Comedy|Crime|Thriller              |           4 |
| Action|Adventure|Comedy|Crime|Drama                 |           4 |
| Action|Adventure|Animation|Science Fiction          |           4 |
| Action|Adventure|Animation|Family|Science Fiction   |           4 |
| Action|Adventure|Animation                          |           4 |
| War|Drama|Romance                                   |           3 |
| War|Documentary|History                             |           3 |
| War|Action|Drama                                    |           3 |
| Thriller|Science Fiction|Action                     |           3 |
| Thriller|Romance                                    |           3 |
| Thriller|Drama|Romance                              |           3 |
| Thriller|Drama|Crime|Mystery                        |           3 |
| Thriller|Crime|Action                               |           3 |
| Thriller|Comedy|Horror|Science Fiction              |           3 |
| Thriller|Comedy|Horror                              |           3 |
| Thriller|Comedy|Crime                               |           3 |
| Thriller|Action|Horror                              |           3 |
| Thriller|Action|Crime|Drama                         |           3 |
| TV Movie|Family|Drama                               |           3 |
| TV Movie                                            |           3 |
| Science Fiction|Thriller|Drama                      |           3 |
